81	Reading between the lines — Extension 5	{"canDo":"I can identify and evaluate authorial implication and framing across sources, make cautious attributions, and produce a formal, source-aware proposal that balances competing perspectives. Apply the choice to a new C1 context.","canDoArabic":"أستطيع تحديد وتقييم الإيحاءات وتأطير الكاتب عبر مصادر متعددة، وإجراء نسب تقييدية، وإعداد اقتراح رسمي مدعوم بالمصادر يوازن بين وجهات نظر متنافسة. طبّق ذلك في سياق جديد من مستوى C1.","scenario":"You are preparing a formal briefing for a municipal planning committee. Using a paired-source dossier (a feature article that promotes urban greening and a municipal policy extract proposing budget reallocation), you must interpret implicit claims, assess evidence and framing, and recommend a defensible course of action that acknowledges uncertainty and stakeholder perspectives.","scenarioArabic":"أنت تُعد إحاطة رسمية للجنة التخطيط البلدية. باستخدام ملف من مصدرين (مقال رأي يدعو إلى زيادة المساحات الخضراء ومقتطف سياسة بلدية يقترح إعادة تخصيص الميزانية)، عليك تفسير الادعاءات الضمنية، وتقييم الأدلة والإطارات، والتوصية بمسار عمل قائم على أسس مع الاعتراف بعدم اليقين ووجهات نظر أصحاب المصلحة."}
82	A claim under scrutiny — Extension 5	{"canDo":"I can interpret contested claims, compare the methods behind competing sources, and produce a formal, source-aware proposal that qualifies conclusions and specifies methodological limitations. Apply the choice to a new C1 context.","canDoArabic":"أستطيع تفسير الادعاءات المتنازع عليها، ومقارنة الأساليب وراء مصادر متنافسة، وتقديم اقتراح رسمي واعٍ بالمصدر يؤهل النتائج ويوضح القيود المنهجية. طبّق ذلك في سياق جديد من مستوى C1.","scenario":"As an expert advisor to a city council, you must evaluate a high-profile claim about an intervention's effectiveness, synthesise evidence from a feature article and an independent review, and submit a 320–420-word executive recommendation that states a defensible position, lists key limitations, and proposes next steps.","scenarioArabic":"بصفتك مستشارًا خبيرًا لمجلس المدينة، عليك تقييم ادعاء بارز حول فعالية تدخل ما، ودمج الأدلة من مقال ومراجعة مستقلة، وتقديم توصية تنفيذية (320–420 كلمة) تبين موقفًا قابلًا للدفاع عنه، وتعدد القيود الأساسية وتقترح خطوات لاحقة."}
83	The language of uncertainty — Extension 5	{"canDo":"I can interpret and communicate calibrated probabilistic claims, weigh conflicting sources, and draft a formal, source-aware proposal that responsibly represents uncertainty. Apply the choice to a new C1 context.","canDoArabic":"أستطيع تفسير ونقل تقديرات احتمالية متوازنة، وموازنة مصادر متضاربة، وصياغة اقتراح رسمي مدعوم بالمصادر يعكس عدم اليقين بمسؤولية. طبّق ذلك في سياق جديد من مستوى C1.","scenario":"You are preparing a short formal briefing for a city council infrastructure committee. The dossier includes a scientific projection, a government technical note, and an editorial. You must synthesise these sources, indicate which claims are more credible, and propose a policy action with calibrated confidence statements.","scenarioArabic":"أنت تُحضّر إيجازًا رسميًا قصيرًا للجنة البنية التحتية في المجلس المحلي. يتضمن الملف مشروعًا علميًا، ومذكرة فنية حكومية، وافتتاحية صحفية. عليك تلخيص هذه المصادر، وتوضيح أي الادعاءات أكثر مصداقية، واقتراح إجراء سياسى مع عبارات ثقة مُقاسة."}
84	When sources disagree — Extension 5	{"canDo":"Can synthesise conflicting sources, identify likely bias or gaps, and produce a concise formal proposal that justifies a recommended course of action using source-aware language. Apply the choice to a new C1 context.","canDoArabic":"يمكنه/يمكنها تجميع معلومات من مصادر متضاربة، وتحديد التحيّز أو الثغرات المحتملة، وصياغة اقتراح رسمي موجز يبرر مسار عمل موصى به باستخدام لغة مدركة للمصدر. طبّق ذلك في سياق جديد من مستوى C1.","scenario":"You are preparing a policy brief for a municipal advisory committee after two independent reports present conflicting accounts of whether the new pedestrianisation scheme reduced local air pollution. Your task is to interpret the evidence, assess the reliability of each source, and recommend one clear, defensible change to the scheme.","scenarioArabic":"تعدّ موجز سياسة للجنة استشارية بلدية بعد أن عرض تقريران مستقلان روايتين متضاربتين حول ما إذا كانت خطة تخصيص المناطق للمشاة قد خفضت تلوث الهواء المحلي. مهمتك تفسير الأدلة، وتقييم موثوقية كل مصدر، والتوصية بتغيير واحد واضح يمكن الدفاع عنه للخطة."}
85	A conclusion, not a slogan — Extension 5	{"canDo":"I can draw a proportionate, evidence-led conclusion that concedes plausible objections, weighs competing sources, and proposes a measured course of action. Apply the choice to a new C1 context.","canDoArabic":"أستطيع استخلاص خلاصة متناسبة مستندة إلى الأدلة تعترف بالاعتراضات المعقولة، وتوازن بين المصادر المتنافسة، وتقترح مسارا متزنًا للعمل. طبّق ذلك في سياق جديد من مستوى C1.","scenario":"You are preparing a formal briefing for a city council committee that must decide whether to adopt a proposed 'proportional congestion charge'. The dossier contains the council's policy extract and an independent evidence review with conflicting claims. You must interpret the sources, acknowledge uncertainties, and recommend a clear, defensible course of action.","scenarioArabic":"أنت بصدد إعداد مذكرة رسمية للجنة مجلس المدينة لتقرير اعتماد 'رسوم ازدحام نسبية' مقترحة. يحتوي الملف على مقتطف سياسة من المجلس ومراجعة أدلة مستقلة تتضمن ادعاءات متعارضة. عليك تفسير المصادر والاعتراف بعدم اليقين واقتراح مسار عمل واضح وقابل للدفاع."}
86	A public issue, privately felt — Extension 5	{"canDo":"I can synthesise evidence and first‑hand testimony about a public policy, use precise abstract noun phrases to convey causal and evaluative nuance, and produce a concise formal proposal that balances technical rigour with lived‑experience insight. Apply the choice to a new C1 context.","canDoArabic":"أستطيع تلخيص الأدلة والشهادات الشخصية حول سياسة عامة، واستخدام تراكيب اسمية مجردة دقيقة لنقل الفروق السببية والتقييمية، وإعداد اقتراح رسمي موجز يوازن بين الصرامة المهنية وتجربة الأفراد. طبّق ذلك في سياق جديد من مستوى C1.","scenario":"You are preparing a short formal proposal for a local council committee that must reconcile a recent policy extract with testimony from affected residents. The committee expects source‑aware synthesis, clear causal claims expressed through abstract nominalisations, and a practical set of interventions that recognise unequal burdens.","scenarioArabic":"أنت تُعد اقتراحًا رسميًا موجزًا للجنة مجلس محلي يجب أن يُوَفِّق بين مقتطف من سياسة حالية وشهادات السكان المتضرّرين. تتوقع اللجنة تلخيصًا واعياً بالمصادر، وادعاءات سببية واضحة معبّرة بتجريدات اسمية، ومجموعة تدخلات عملية تأخذ بعين الاعتبار الأعباء غير المتكافئة."}
87	The ethics of convenience — Extension 5	{"canDo":"I can evaluate technological choices using counterfactual reasoning and ethical conditionals, synthesise multiple sources for a formal policy proposal, and present a defensible position on consent and responsibility. Apply the choice to a new C1 context.","canDoArabic":"أستطيع تقييم خيارات تكنولوجية باستخدام التفكير الافتراضي والشرطيات الأخلاقية، ودمج مصادر متعددة لصياغة اقتراح سياساتي رسمي، وتقديم موقف قابل للدفاع حول الموافقة والمسؤولية. طبّق ذلك في سياق جديد من مستوى C1.","scenario":"You are preparing a formal submission to a municipal data‑protection board arguing whether a contactless convenience service should be licensed. Your submission must weigh trade‑offs, cite evidence and counterarguments from two sources, and recommend a conditional policy that assigns responsibility and safeguards consent.","scenarioArabic":"أنت بصدد إعداد مداخلة رسمية لمجلس حماية بيانات بلدي للتداول حول ترخيص خدمة مريحة لا تلامسية. يجب أن تزن التنازلات، وتستشهد بالأدلة والاعتراضات من مصدرين، وتقترح سياسة مشروطة تُحدد المسؤولية وتُعزز الموافقة."}
88	Beyond a single story — Extension 5	{"canDo":"I can interpret multiple sources about a contested public representation, synthesize a source-aware critique, and write a concise formal proposal that challenges prevailing narratives respectfully. Apply the choice to a new C1 context.","canDoArabic":"أستطيع تفسير مصادر متعددة حول تمثيل عام مثير للجدل، وتركيب نقد واعٍ للمصادر، وكتابة اقتراح رسمي موجز يتحدى السرد السائد باحترام. طبّق ذلك في سياق جديد من مستوى C1.","scenario":"You are preparing a formal brief for a city arts council. Two recent sources—(1) a feature article and community statement alleging tokenism in a municipal exhibition and (2) the museum's policy extract defending curatorial choices—offer conflicting accounts. You must critically interpret both, synthesise evidence, and propose concrete changes to the programme that address representational gaps while maintaining artistic standards.","scenarioArabic":"أنت بصدد إعداد ملخص رسمي لمجلس الفنون بالمدينة. مصدران حاليان — (1) مقال مميز وبيان مجتمعي يتهمان المعرض البلدي بالتمثيل الرمزي و(2) مقتطف من سياسة المتحف يدافع عن الخيارات الفنية — يقدمان روايات متضاربة. عليك تفسير كلا المصدرين نقدياً، وتركيب الأدلة، واقتراح تغييرات ملموسة على البرنامج تعالج فجوات التمثيل مع الحفاظ على المعايير الفنية."}
89	What counts as progress? — Extension 5	{"canDo":"I can interpret competing indicators of development, compose a source-aware synthesis that balances advantages and drawbacks, and draft a concise formal proposal recommending which metric(s) should count as progress. Apply the choice to a new C1 context.","canDoArabic":"أستطيع تفسير مؤشرات النمو المتنافسة، وتأليف ملخص واعٍ بالمصادر يوازن بين الفوائد والسلبيات، وصياغة اقتراح رسمي موجز يوصي بالمقياس/المقاييس التي ينبغي احتسابها كـ\"تقدّم\". طبّق ذلك في سياق جديد من مستوى C1.","scenario":"You are a policy analyst asked by a regional development agency to decide whether to adopt a single headline growth indicator or a composite wellbeing metric. You must review two sources with different methodologies, evaluate their evidence, present balanced counterarguments, and propose a defensible metric strategy for the agency.","scenarioArabic":"أنت محلّل سياسات طُلِب منك من قِبل وكالة إقليمية للتنمية تقرير ما إذا كان يجب اعتماد مُؤشِّر نمو رئيسي واحد أم مقياس تركيبي لرفاهية السكان. عليك مراجعة مصدرين يختلفان في المنهجية، وتقييم أدلتهم، وتقديم حجج مضادة متوازنة، واقتراح استراتيجية مقياسية قابلة للدفاع أمام الوكالة."}
90	The cost of a decision — Extension 5	{"canDo":"I can analyse the allocation trade-offs behind a contested public policy, synthesise at least two contrasting sources, and write a concise formal proposal that anticipates unintended effects and proposes mitigation measures. Apply the choice to a new C1 context.","canDoArabic":"أستطيع تحليل التنازلات المرتبطة بتخصيص الموارد في سياسة عامة مثيرة للجدل، وتجميع وجهتي نظر على الأقل، وكتابة اقتراح رسمي يراعى الآثار غير المقصودة ويقترح تدابير تخفيفية. طبّق ذلك في سياق جديد من مستوى C1.","scenario":"You are a policy analyst advising a city council that plans to reallocate a portion of its budget from acute hospital care to early-intervention community services. You must interpret two short source documents (a government policy brief and an NGO impact assessment), weigh competing evidence, forecast likely knock-on effects, and produce a 360-word formal proposal recommending a course of action with specific mitigation measures.","scenarioArabic":"أنت محلل سياسات تنصح مجلس مدينة يخطط لنقل جزء من ميزانيته من الرعاية الاستشفائية الطارئة إلى خدمات التدخل المبكر المجتمعية. عليك تفسير وثيقتين (موجز سياسة حكومى وتقييم تأثير لهيئة غير حكومية)، وموازنة الأدلة المتضادة، وتوقع الآثار المتتالية المحتملة، وإعداد اقتراح رسمي من 360 كلمة يوصى بخيار محدد مع تدابير تخفيفية واضحة."}
